Property_Address,City,State,Distress_Signal,Signal_Date,Owner_Name,Phone
"9957 BURNHAM DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T23:32:55.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9916 ACKLIN DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T23:30:33.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"13102 HALWIN CIR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T23:28:16.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9939 BURNHAM DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T19:28:01.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8109 SKILLMAN ST, DALLAS, TX, 75231",DALLAS,TX,Single Family Rental Needs Registration - CCS,2026-07-01T16:49:43.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8580 ABRAMS RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T16:29:37.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10255 BLACK HICKORY RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T15:49:26.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9218 LEASIDE DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-01T15:48:23.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9690 FOREST LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T14:45:58.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10798 COLEWOOD LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T14:45:08.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"11700 AUDELIA RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T14:32:19.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"12321 BELLAFONTE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T14:05:11.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"12327 BELLAFONTE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T14:04:16.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"12220 HIGH POINT CIR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T13:34:47.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"12116 HOBLITZELLE DR, DALLAS, TX, 75243",DALLAS,TX,Single Family Rental Needs Registration - CCS,2026-07-01T13:13:40.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9617 LANSHIRE DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-01T12:53:21.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9900 ADLETA BLVD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T12:12:15.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10938 CACTUS LN, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-01T10:39:53.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8807 LOCKHAVEN DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-01T10:18:15.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9015 WINDY CREST DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T09:35:38.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"12206 DANDRIDGE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T08:07:28.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8436 BIRCHCROFT DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-01T01:26:56.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"11934 OAK HIGHLANDS DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-06-30T20:58:08.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8680 ABRAMS RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-06-30T17:08:43.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8719 ARBOR PARK DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-06-30T17:07:34.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8411 ELLERY DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-06-30T16:51:09.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9801 WALNUT ST, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-06-30T15:38:07.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"11000 GLEN ECHO CT, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-06-30T15:37:45.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9648 BRYSON DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-06-30T15:34:55.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9236 CHURCH RD, DALLAS, TX, 75231",DALLAS,TX,Code Concern - CCS,2026-06-30T14:52:53.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8404 GLEN REGAL DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-06-30T14:39:36.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8336 GLEN REGAL DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-06-30T14:36:56.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"12517 RIALTO DR, DALLAS, TX, 75243",DALLAS,TX,Single Family Rental Needs Registration - CCS,2026-06-30T12:06:28.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8666 ROLLING ROCK LN, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-06-30T11:45:12.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"12107 SCHROEDER RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-06-30T11:29:28.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10646 CHESTERTON DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-06-30T11:24:09.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"13232 FALL MANOR DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-06-30T10:56:26.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"13332 FALL MANOR DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-06-30T10:55:44.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
