Priority,Score,Property_Address,City,Distress_Signal,Signal_Date,Owner_Name,Owner_Phone,Recommended_Actions,Breakdown
CRITICAL,100,"10609 GREYFRIARS LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-07-02T12:11:18.000,ELIZABETH MARTIN,469-771-6490,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9200 MARKANNE DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-02T11:56:28.000,ROBERT THOMPSON,214-242-8838,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8446 BIRCHCROFT DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-02T11:53:21.000,MARY LOPEZ,469-216-7774,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"12160 WILLOWDELL DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-02T11:21:42.000,SANDRA THOMAS,469-418-2084,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"12220 WILLOWDELL DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-02T11:19:25.000,SANDRA ALLEN,972-822-8108,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9530 FORESTVIEW ST, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-02T10:10:23.000,ROBERT MILLER,972-470-9396,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9957 BURNHAM DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T23:32:55.000,CODY ADAMS,214-528-7690,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9916 ACKLIN DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T23:30:33.000,CHRIS D KOEBERLE,214-349-4102,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"13102 HALWIN CIR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T23:28:16.000,ON Q PROPERTY MGMT (RENTAL),480-696-6776,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9939 BURNHAM DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T19:28:01.000,DERRICK ADAMS,214-575-8933,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"10062 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-07-01T17:29:58.000,COUNTRY SQUIRE VENTURE,972-241-1188,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"10255 BLACK HICKORY RD, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T15:49:26.000,GARY BARKEY,972-437-9811,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9218 LEASIDE DR, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-07-01T15:48:23.000,JOHN PIROZZOLO,214-349-5818,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8580 ABRAMS RD, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T15:29:37.000,LINDA LEWIS,469-422-7987,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9690 FOREST LN, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T14:45:58.000,BETTY BROWN,972-288-8283,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"10798 COLEWOOD LN, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T14:45:08.000,JOHN ROBINSON,972-688-3490,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"11700 AUDELIA RD, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T14:32:19.000,BETTY THOMPSON,972-321-6776,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"12321 BELLAFONTE DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T14:05:11.000,CHRISTOPHER SMITH,214-717-6337,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"12327 BELLAFONTE DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T14:04:16.000,ANTHONY RODRIGUEZ,214-713-5405,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"12220 HIGH POINT CIR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T13:34:47.000,MICHAEL GONZALEZ,469-613-3038,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9617 LANSHIRE DR, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-07-01T12:53:21.000,ANTHONY SMITH,972-871-1813,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9900 ADLETA BLVD, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T12:12:15.000,MARY LEE,469-977-6307,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9029 CHURCH RD, DALLAS, TX, 75231",DALLAS,Code Concern - CCS,2026-07-01T12:05:10.000,JOSEPH JOHNSON,214-877-4390,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"10610 METRIC DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T11:07:03.000,CHRISTOPHER ALLEN,214-563-2902,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"10938 CACTUS LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-07-01T10:39:53.000,PAUL HARRIS,972-371-5605,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8807 LOCKHAVEN DR, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-07-01T10:18:15.000,JOSEPH WILLIAMS,469-949-6556,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9015 WINDY CREST DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T09:35:38.000,ROBERT MOORE,972-929-3510,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"12206 DANDRIDGE DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T08:07:28.000,BARBARA WILSON,469-818-8316,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8330 GLEN REGAL DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T04:02:19.000,DANIEL HARRIS,972-336-8451,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8329 GLEN REGAL DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T03:43:27.000,WILLIAM RODRIGUEZ,469-274-4581,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"7324 SKILLMAN ST, DALLAS, TX, 75231",DALLAS,Code Concern - CCS,2026-07-01T03:23:39.000,JOHN BROWN,469-775-6661,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8436 BIRCHCROFT DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-01T01:26:56.000,CHARLES ALLEN,972-412-2626,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"11934 OAK HIGHLANDS DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T20:58:08.000,PATRICIA LOPEZ,972-848-4353,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8680 ABRAMS RD, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T17:08:43.000,MARY ANDERSON,972-935-6821,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8719 ARBOR PARK DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T17:07:34.000,JOHN SANCHEZ,972-672-8389,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8411 ELLERY DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T16:51:09.000,KAREN RODRIGUEZ,972-359-1408,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9801 WALNUT ST, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T15:38:07.000,SUSAN SANCHEZ,214-696-5388,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"11000 GLEN ECHO CT, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-06-30T15:37:45.000,ELIZABETH JONES,972-942-7607,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9648 BRYSON DR, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-06-30T15:34:55.000,ROBERT LOPEZ,214-965-8271,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9236 CHURCH RD, DALLAS, TX, 75231",DALLAS,Code Concern - CCS,2026-06-30T14:52:53.000,PATRICIA WALKER,469-641-7403,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8404 GLEN REGAL DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T14:39:36.000,ELIZABETH BROWN,214-898-2144,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8336 GLEN REGAL DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T14:36:56.000,DAVID THOMPSON,214-864-5475,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9010 MARKVILLE DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T13:04:09.000,PAUL JONES,972-846-4326,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8666 ROLLING ROCK LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-06-30T11:45:12.000,SUSAN BROWN,972-633-7608,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"12107 SCHROEDER RD, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T11:29:28.000,SARAH PEREZ,972-749-6011,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"10646 CHESTERTON DR, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-06-30T11:24:09.000,STEVEN CLARK,972-495-6920,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"13232 FALL MANOR DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T10:56:26.000,LINDA RODRIGUEZ,214-312-6755,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"13332 FALL MANOR DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T10:55:44.000,NANCY PEREZ,972-295-1508,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9737 WHITEHURST DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T10:44:38.000,MARGARET MOORE,469-936-8157,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"12122 HOBLITZELLE DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T10:44:30.000,PAUL DAVIS,214-328-5438,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"11927 HOBLITZELLE DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T10:42:15.000,LISA JOHNSON,469-824-4956,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9607 GREENSPRINT DR, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-06-30T08:06:08.000,LISA JACKSON,972-876-6038,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"12025 LEISURE WAY, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T07:20:41.000,PAUL GARCIA,972-521-2948,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"12708 SCHROEDER RD, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-30T06:42:17.000,MARGARET MARTIN,972-827-5544,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"11032 GLEN ECHO CT, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-06-29T20:26:15.000,JOSEPH KING,469-347-3672,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"11060 WALLBROOK DR, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-06-29T17:20:00.000,LINDA WRIGHT,469-277-3314,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9169 MARKVILLE DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-29T16:41:01.000,DAVID WALKER,469-323-2384,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9530 MOSSRIDGE CIR, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-06-29T16:08:19.000,DAVID TAYLOR,214-883-7929,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8835 BOUNDBROOK AVE, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-29T15:41:19.000,BARBARA TAYLOR,972-694-5273,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8803 GRAYWOOD DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-29T15:40:11.000,LISA WALKER,214-703-3716,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8850 FAIR OAKS XING, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-29T15:37:33.000,MATTHEW LEE,214-582-6236,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9254 FOREST LN, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-29T14:58:01.000,ELIZABETH HARRIS,972-916-7546,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9120 SUMMER GLEN LN, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-29T14:53:58.000,ELIZABETH BROWN,972-393-2383,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"10053 SILVERTREE DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-29T14:53:32.000,WILLIAM JOHNSON,972-499-7172,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"SPRING BRANCH DR & WHITE ROCK TRL, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-06-29T14:31:07.000,SUSAN YOUNG,214-996-3669,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9744 FOREST LN, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-06-29T13:19:10.000,JOSHUA HARRIS,972-783-5980,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
