Property_Address,Property_City,Distress_Signal,Urgency_Score,Match_Score,Buyer_Company,Buyer_Contact,Buyer_Email,Buyer_Phone,Buyer_Category,Buyer_City,Owner_Name,Owner_Phone
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Velocity Acquisitions,Ashley Martinez,ashley@velocityacquisitions.com,+1 546-774-5282,Acquisitions,"Tampa, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Apex Capital,John Rodriguez,john@apexcapital.com,+1 527-582-4667,Capital Partner,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,BlueSky Capital,Robert Smith,robert@blueskycapital.com,+1 670-507-9557,Capital Partner,"Phoenix, AZ",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Elite Capital,Michael Jones,michael@elitecapital.com,+1 463-395-7029,Capital Partner,"Tampa, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Liberty Capital,William Williams,william@libertycapital.com,+1 537-681-3358,Capital Partner,"Miami, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Liberty Capital,Ashley Smith,ashley@libertycapital.com,+1 560-426-1739,Capital Partner,"Orlando, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Liberty Capital,Jessica Brown,jessica@libertycapital.com,+1 239-903-6688,Capital Partner,"Charlotte, NC",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,NextGen Capital,James Rodriguez,james@nextgencapital.com,+1 992-901-8280,Capital Partner,"Denver, CO",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Nova Capital,Robert Martinez,robert@novacapital.com,+1 392-708-3001,Capital Partner,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Nova Capital,Ashley Williams,ashley@novacapital.com,+1 506-348-8501,Capital Partner,"Charlotte, NC",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Nova Capital,Christopher Davis,christopher@novacapital.com,+1 804-648-3117,Capital Partner,"Charlotte, NC",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Nova Capital,John Johnson,john@novacapital.com,+1 378-739-3409,Capital Partner,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Prime Capital,James Smith,james@primecapital.com,+1 852-981-6641,Capital Partner,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Prime Capital,Christopher Martinez,christopher@primecapital.com,+1 255-267-7352,Capital Partner,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Stellar Capital,Jessica Garcia,jessica@stellarcapital.com,+1 660-587-1548,Capital Partner,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Summit Capital,Robert Smith,robert@summitcapital.com,+1 241-232-7515,Capital Partner,"Austin, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Titan Capital,Emily Rodriguez,emily@titancapital.com,+1 855-522-7924,Capital Partner,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Velocity Capital,Christopher Johnson,christopher@velocitycapital.com,+1 250-547-4537,Capital Partner,"Denver, CO",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Apex Home Buyers,Christopher Martinez,christopher@apexhomebuyers.com,+1 819-809-6397,Cash Buyer,"Miami, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,BlueSky Home Buyers,Brian Brown,brian@blueskyhomebuyers.com,+1 494-213-1187,Cash Buyer,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,BlueSky Home Buyers,James Rodriguez,james@blueskyhomebuyers.com,+1 679-254-4977,Cash Buyer,"Tampa, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,BlueSky Home Buyers,John Garcia,john@blueskyhomebuyers.com,+1 597-451-4744,Cash Buyer,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,BlueSky Home Buyers,Christopher Miller,christopher@blueskyhomebuyers.com,+1 493-763-5655,Cash Buyer,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Eagle Home Buyers,Robert Williams,robert@eaglehomebuyers.com,+1 464-239-2451,Cash Buyer,"Charlotte, NC",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Horizon Home Buyers,James Miller,james@horizonhomebuyers.com,+1 672-538-1290,Cash Buyer,"Austin, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,NextGen Home Buyers,John Garcia,john@nextgenhomebuyers.com,+1 921-938-8059,Cash Buyer,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,NextGen Home Buyers,David Brown,david@nextgenhomebuyers.com,+1 471-709-8196,Cash Buyer,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Nova Home Buyers,Ashley Williams,ashley@novahomebuyers.com,+1 839-479-5936,Cash Buyer,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Nova Home Buyers,David Miller,david@novahomebuyers.com,+1 545-864-9914,Cash Buyer,"Austin, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Pioneer Home Buyers,Robert Jones,robert@pioneerhomebuyers.com,+1 941-510-3714,Cash Buyer,"Charlotte, NC",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Pioneer Home Buyers,Christopher Davis,christopher@pioneerhomebuyers.com,+1 737-720-8904,Cash Buyer,"Denver, CO",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Prime Home Buyers,James Rodriguez,james@primehomebuyers.com,+1 929-749-4156,Cash Buyer,"Orlando, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Sellhomedallas,,,,Cash Buyer,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Stellar Home Buyers,Emily Garcia,emily@stellarhomebuyers.com,+1 777-990-1869,Cash Buyer,"Orlando, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Stellar Home Buyers,Michael Garcia,michael@stellarhomebuyers.com,+1 254-930-1212,Cash Buyer,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Stellar Home Buyers,Sarah Garcia,sarah@stellarhomebuyers.com,+1 242-705-9721,Cash Buyer,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Stellar Home Buyers,Jessica Garcia,jessica@stellarhomebuyers.com,+1 861-903-8466,Cash Buyer,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Summit Home Buyers,Jessica Martinez,jessica@summithomebuyers.com,+1 308-223-4077,Cash Buyer,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Summit Home Buyers,John Smith,john@summithomebuyers.com,+1 780-587-5283,Cash Buyer,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Summit Home Buyers,James Rodriguez,james@summithomebuyers.com,+1 241-657-5915,Cash Buyer,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Titan Home Buyers,John Garcia,john@titanhomebuyers.com,+1 796-547-9650,Cash Buyer,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Titan Home Buyers,Sarah Jones,sarah@titanhomebuyers.com,+1 413-933-4853,Cash Buyer,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Vanguard Home Buyers,John Jones,john@vanguardhomebuyers.com,+1 405-237-3508,Cash Buyer,"Denver, CO",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Velocity Home Buyers,Emily Miller,emily@velocityhomebuyers.com,+1 960-793-6570,Cash Buyer,"Austin, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Velocity Home Buyers,David Davis,david@velocityhomebuyers.com,+1 427-642-5531,Cash Buyer,"Denver, CO",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Apex Equity,John Martinez,john@apexequity.com,+1 336-517-6455,Equity Partner,"Austin, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Apex Equity,William Williams,william@apexequity.com,+1 978-329-5455,Equity Partner,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,BlueSky Equity,James Rodriguez,james@blueskyequity.com,+1 894-324-6666,Equity Partner,"Charlotte, NC",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,BlueSky Equity,David Williams,david@blueskyequity.com,+1 753-872-9641,Equity Partner,"Tampa, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Eagle Equity,William Jones,william@eagleequity.com,+1 768-524-1452,Equity Partner,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Elite Equity,Michael Davis,michael@eliteequity.com,+1 272-561-4176,Equity Partner,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Elite Equity,David Brown,david@eliteequity.com,+1 452-766-5657,Equity Partner,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Horizon Equity,Emily Williams,emily@horizonequity.com,+1 286-897-2910,Equity Partner,"Charlotte, NC",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,NextGen Equity,Michael Miller,michael@nextgenequity.com,+1 311-769-9990,Equity Partner,"Austin, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Nova Equity,Sarah Miller,sarah@novaequity.com,+1 372-551-8800,Equity Partner,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Prime Equity,Robert Garcia,robert@primeequity.com,+1 337-771-6019,Equity Partner,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Summit Equity,Robert Smith,robert@summitequity.com,+1 525-552-9234,Equity Partner,"Charlotte, NC",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Summit Equity,Christopher Rodriguez,christopher@summitequity.com,+1 903-930-5773,Equity Partner,"Miami, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Velocity Equity,Emily Johnson,emily@velocityequity.com,+1 945-281-2459,Equity Partner,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Eagle Holdings,Robert Johnson,robert@eagleholdings.com,+1 545-707-3944,Holdings,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Elite Holdings,Emily Johnson,emily@eliteholdings.com,+1 330-471-7876,Holdings,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Horizon Holdings,Ashley Williams,ashley@horizonholdings.com,+1 653-594-8319,Holdings,"Miami, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Horizon Holdings,Emily Davis,emily@horizonholdings.com,+1 297-861-6948,Holdings,"Tampa, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,NextGen Holdings,Ashley Davis,ashley@nextgenholdings.com,+1 213-730-3252,Holdings,"Tampa, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Pioneer Holdings,Christopher Brown,christopher@pioneerholdings.com,+1 826-413-2691,Holdings,"Austin, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Pioneer Holdings,Sarah Jones,sarah@pioneerholdings.com,+1 670-290-1730,Holdings,"Phoenix, AZ",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Prime Holdings,Emily Williams,emily@primeholdings.com,+1 889-722-7266,Holdings,"Tampa, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Prime Holdings,Michael Smith,michael@primeholdings.com,+1 596-880-1143,Holdings,"Denver, CO",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Prime Holdings,David Davis,david@primeholdings.com,+1 735-909-7649,Holdings,"Phoenix, AZ",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Stellar Holdings,Jessica Smith,jessica@stellarholdings.com,+1 531-228-7016,Holdings,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Titan Holdings,James Brown,james@titanholdings.com,+1 379-511-2935,Holdings,"Tampa, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Titan Holdings,William Garcia,william@titanholdings.com,+1 967-764-2561,Holdings,"Orlando, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Vanguard Holdings,Michael Brown,michael@vanguardholdings.com,+1 300-579-5988,Holdings,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Vanguard Holdings,Emily Johnson,emily@vanguardholdings.com,+1 867-546-5715,Holdings,"Miami, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Velocity Holdings,John Brown,john@velocityholdings.com,+1 603-442-4954,Holdings,"Tampa, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Browderpropertyinvestments,,,,Investor,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Eagle Investments,James Martinez,james@eagleinvestments.com,+1 237-375-9453,Investor,"Orlando, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,NextGen Investments,Sarah Johnson,sarah@nextgeninvestments.com,+1 435-750-7342,Investor,"Phoenix, AZ",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,NextGen Investments,Jessica Garcia,jessica@nextgeninvestments.com,+1 852-636-5800,Investor,"Orlando, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,NextGen Investments,Emily Garcia,emily@nextgeninvestments.com,+1 403-750-4513,Investor,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Nova Investments,Ashley Williams,ashley@novainvestments.com,+1 320-272-7891,Investor,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Nova Investments,Christopher Brown,christopher@novainvestments.com,+1 730-534-6792,Investor,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Pioneer Investments,John Johnson,john@pioneerinvestments.com,+1 920-409-7768,Investor,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Prime Investments,Emily Johnson,emily@primeinvestments.com,+1 494-473-3899,Investor,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Stellar Investments,Sarah Johnson,sarah@stellarinvestments.com,+1 625-327-7091,Investor,"Austin, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Stellar Investments,James Brown,james@stellarinvestments.com,+1 671-247-9816,Investor,"Denver, CO",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Summit Investments,Sarah Garcia,sarah@summitinvestments.com,+1 705-346-1946,Investor,"Tampa, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Summit Investments,Jessica Smith,jessica@summitinvestments.com,+1 939-639-3137,Investor,"Phoenix, AZ",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Summit Investments,William Miller,william@summitinvestments.com,+1 544-504-4260,Investor,"Charlotte, NC",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Vanguard Investments,Sarah Williams,sarah@vanguardinvestments.com,+1 348-921-9979,Investor,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Vanguard Investments,Ashley Garcia,ashley@vanguardinvestments.com,+1 847-912-9838,Investor,"Austin, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Velocity Investments,Brian Johnson,brian@velocityinvestments.com,+1 384-489-7018,Investor,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Velocity Investments,Christopher Johnson,christopher@velocityinvestments.com,+1 483-278-5291,Investor,"Dallas, TX",ANDREW HARRIS,469-391-4166
