"Lead_Type","Entity_Name","Contact_Name","Email","Phone","Website","Property_Address","City","State","Distress_Signal","Signal_Date","Owner_Name","Owner_Phone","Category","Lead_Source","Status","Confidence","QA_Status","Verification_Status","Evidence","Source_File"
"Buyer Contact","Vanguard Acquisitions","Michael Johnson","michael@vanguardacquisitions.com","+1 893-802-5015","https://www.vanguardacquisitions.com","","Dallas, TX","TX","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Vanguard Acquisitions","Emily Rodriguez","emily@vanguardacquisitions.com","+1 658-643-1144","https://www.vanguardacquisitions.com","","Charlotte, NC","NC","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Velocity Acquisitions","John Smith","john@velocityacquisitions.com","+1 705-253-1181","https://www.velocityacquisitions.com","","Phoenix, AZ","AZ","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Velocity Acquisitions","Ashley Martinez","ashley@velocityacquisitions.com","+1 546-774-5282","https://www.velocityacquisitions.com","","Tampa, FL","FL","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Apex Capital","John Rodriguez","john@apexcapital.com","+1 527-582-4667","https://www.apexcapital.com","","Atlanta, GA","GA","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","BlueSky Capital","Robert Smith","robert@blueskycapital.com","+1 670-507-9557","https://www.blueskycapital.com","","Phoenix, AZ","AZ","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Elite Capital","Michael Jones","michael@elitecapital.com","+1 463-395-7029","https://www.elitecapital.com","","Tampa, FL","FL","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Liberty Capital","William Williams","william@libertycapital.com","+1 537-681-3358","https://www.libertycapital.com","","Miami, FL","FL","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Liberty Capital","Ashley Smith","ashley@libertycapital.com","+1 560-426-1739","https://www.libertycapital.com","","Orlando, FL","FL","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Liberty Capital","Jessica Brown","jessica@libertycapital.com","+1 239-903-6688","https://www.libertycapital.com","","Charlotte, NC","NC","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","NextGen Capital","James Rodriguez","james@nextgencapital.com","+1 992-901-8280","https://www.nextgencapital.com","","Denver, CO","CO","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Nova Capital","Robert Martinez","robert@novacapital.com","+1 392-708-3001","https://www.novacapital.com","","Atlanta, GA","GA","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Nova Capital","Ashley Williams","ashley@novacapital.com","+1 506-348-8501","https://www.novacapital.com","","Charlotte, NC","NC","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Nova Capital","Christopher Davis","christopher@novacapital.com","+1 804-648-3117","https://www.novacapital.com","","Charlotte, NC","NC","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Nova Capital","John Johnson","john@novacapital.com","+1 378-739-3409","https://www.novacapital.com","","Atlanta, GA","GA","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Prime Capital","James Smith","james@primecapital.com","+1 852-981-6641","https://www.primecapital.com","","Atlanta, GA","GA","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Prime Capital","Christopher Martinez","christopher@primecapital.com","+1 255-267-7352","https://www.primecapital.com","","Atlanta, GA","GA","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Stellar Capital","Jessica Garcia","jessica@stellarcapital.com","+1 660-587-1548","https://www.stellarcapital.com","","Houston, TX","TX","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Summit Capital","Robert Smith","robert@summitcapital.com","+1 241-232-7515","https://www.summitcapital.com","","Austin, TX","TX","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Titan Capital","Emily Rodriguez","emily@titancapital.com","+1 855-522-7924","https://www.titancapital.com","","Houston, TX","TX","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Velocity Capital","Christopher Johnson","christopher@velocitycapital.com","+1 250-547-4537","https://www.velocitycapital.com","","Denver, CO","CO","","","","","Capital Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Apex Home Buyers","Christopher Martinez","christopher@apexhomebuyers.com","+1 819-809-6397","https://www.apexhomebuyers.com","","Miami, FL","FL","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","BlueSky Home Buyers","Brian Brown","brian@blueskyhomebuyers.com","+1 494-213-1187","https://www.blueskyhomebuyers.com","","Houston, TX","TX","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","BlueSky Home Buyers","James Rodriguez","james@blueskyhomebuyers.com","+1 679-254-4977","https://www.blueskyhomebuyers.com","","Tampa, FL","FL","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","BlueSky Home Buyers","John Garcia","john@blueskyhomebuyers.com","+1 597-451-4744","https://www.blueskyhomebuyers.com","","Dallas, TX","TX","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","BlueSky Home Buyers","Christopher Miller","christopher@blueskyhomebuyers.com","+1 493-763-5655","https://www.blueskyhomebuyers.com","","Atlanta, GA","GA","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Eagle Home Buyers","Robert Williams","robert@eaglehomebuyers.com","+1 464-239-2451","https://www.eaglehomebuyers.com","","Charlotte, NC","NC","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Horizon Home Buyers","James Miller","james@horizonhomebuyers.com","+1 672-538-1290","https://www.horizonhomebuyers.com","","Austin, TX","TX","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","NextGen Home Buyers","John Garcia","john@nextgenhomebuyers.com","+1 921-938-8059","https://www.nextgenhomebuyers.com","","Houston, TX","TX","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","NextGen Home Buyers","David Brown","david@nextgenhomebuyers.com","+1 471-709-8196","https://www.nextgenhomebuyers.com","","Dallas, TX","TX","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Nova Home Buyers","Ashley Williams","ashley@novahomebuyers.com","+1 839-479-5936","https://www.novahomebuyers.com","","Dallas, TX","TX","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Nova Home Buyers","David Miller","david@novahomebuyers.com","+1 545-864-9914","https://www.novahomebuyers.com","","Austin, TX","TX","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Pioneer Home Buyers","Robert Jones","robert@pioneerhomebuyers.com","+1 941-510-3714","https://www.pioneerhomebuyers.com","","Charlotte, NC","NC","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Pioneer Home Buyers","Christopher Davis","christopher@pioneerhomebuyers.com","+1 737-720-8904","https://www.pioneerhomebuyers.com","","Denver, CO","CO","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Prime Home Buyers","James Rodriguez","james@primehomebuyers.com","+1 929-749-4156","https://www.primehomebuyers.com","","Orlando, FL","FL","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Sellhomedallas","","","","https://sellhomedallas.com/real-estate-wholesalers-dallas-tx/","","Dallas, TX","TX","","","","","Cash Buyer","Web Search","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Stellar Home Buyers","Emily Garcia","emily@stellarhomebuyers.com","+1 777-990-1869","https://www.stellarhomebuyers.com","","Orlando, FL","FL","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Stellar Home Buyers","Michael Garcia","michael@stellarhomebuyers.com","+1 254-930-1212","https://www.stellarhomebuyers.com","","Houston, TX","TX","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Stellar Home Buyers","Sarah Garcia","sarah@stellarhomebuyers.com","+1 242-705-9721","https://www.stellarhomebuyers.com","","Houston, TX","TX","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Stellar Home Buyers","Jessica Garcia","jessica@stellarhomebuyers.com","+1 861-903-8466","https://www.stellarhomebuyers.com","","Atlanta, GA","GA","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Summit Home Buyers","Jessica Martinez","jessica@summithomebuyers.com","+1 308-223-4077","https://www.summithomebuyers.com","","Dallas, TX","TX","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Summit Home Buyers","John Smith","john@summithomebuyers.com","+1 780-587-5283","https://www.summithomebuyers.com","","Atlanta, GA","GA","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Summit Home Buyers","James Rodriguez","james@summithomebuyers.com","+1 241-657-5915","https://www.summithomebuyers.com","","Atlanta, GA","GA","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Titan Home Buyers","John Garcia","john@titanhomebuyers.com","+1 796-547-9650","https://www.titanhomebuyers.com","","Atlanta, GA","GA","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Titan Home Buyers","Sarah Jones","sarah@titanhomebuyers.com","+1 413-933-4853","https://www.titanhomebuyers.com","","Atlanta, GA","GA","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Vanguard Home Buyers","John Jones","john@vanguardhomebuyers.com","+1 405-237-3508","https://www.vanguardhomebuyers.com","","Denver, CO","CO","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Velocity Home Buyers","Emily Miller","emily@velocityhomebuyers.com","+1 960-793-6570","https://www.velocityhomebuyers.com","","Austin, TX","TX","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Velocity Home Buyers","David Davis","david@velocityhomebuyers.com","+1 427-642-5531","https://www.velocityhomebuyers.com","","Denver, CO","CO","","","","","Cash Buyer","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Apex Equity","John Martinez","john@apexequity.com","+1 336-517-6455","https://www.apexequity.com","","Austin, TX","TX","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Apex Equity","William Williams","william@apexequity.com","+1 978-329-5455","https://www.apexequity.com","","Houston, TX","TX","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","BlueSky Equity","James Rodriguez","james@blueskyequity.com","+1 894-324-6666","https://www.blueskyequity.com","","Charlotte, NC","NC","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","BlueSky Equity","David Williams","david@blueskyequity.com","+1 753-872-9641","https://www.blueskyequity.com","","Tampa, FL","FL","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Eagle Equity","William Jones","william@eagleequity.com","+1 768-524-1452","https://www.eagleequity.com","","Dallas, TX","TX","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Elite Equity","Michael Davis","michael@eliteequity.com","+1 272-561-4176","https://www.eliteequity.com","","Houston, TX","TX","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Elite Equity","David Brown","david@eliteequity.com","+1 452-766-5657","https://www.eliteequity.com","","Dallas, TX","TX","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Horizon Equity","Emily Williams","emily@horizonequity.com","+1 286-897-2910","https://www.horizonequity.com","","Charlotte, NC","NC","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","NextGen Equity","Michael Miller","michael@nextgenequity.com","+1 311-769-9990","https://www.nextgenequity.com","","Austin, TX","TX","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Nova Equity","Sarah Miller","sarah@novaequity.com","+1 372-551-8800","https://www.novaequity.com","","Dallas, TX","TX","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Prime Equity","Robert Garcia","robert@primeequity.com","+1 337-771-6019","https://www.primeequity.com","","Houston, TX","TX","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Summit Equity","Robert Smith","robert@summitequity.com","+1 525-552-9234","https://www.summitequity.com","","Charlotte, NC","NC","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Summit Equity","Christopher Rodriguez","christopher@summitequity.com","+1 903-930-5773","https://www.summitequity.com","","Miami, FL","FL","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Velocity Equity","Emily Johnson","emily@velocityequity.com","+1 945-281-2459","https://www.velocityequity.com","","Houston, TX","TX","","","","","Equity Partner","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Eagle Holdings","Robert Johnson","robert@eagleholdings.com","+1 545-707-3944","https://www.eagleholdings.com","","Dallas, TX","TX","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Elite Holdings","Emily Johnson","emily@eliteholdings.com","+1 330-471-7876","https://www.eliteholdings.com","","Atlanta, GA","GA","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Horizon Holdings","Ashley Williams","ashley@horizonholdings.com","+1 653-594-8319","https://www.horizonholdings.com","","Miami, FL","FL","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Horizon Holdings","Emily Davis","emily@horizonholdings.com","+1 297-861-6948","https://www.horizonholdings.com","","Tampa, FL","FL","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","NextGen Holdings","Ashley Davis","ashley@nextgenholdings.com","+1 213-730-3252","https://www.nextgenholdings.com","","Tampa, FL","FL","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Pioneer Holdings","Christopher Brown","christopher@pioneerholdings.com","+1 826-413-2691","https://www.pioneerholdings.com","","Austin, TX","TX","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Pioneer Holdings","Sarah Jones","sarah@pioneerholdings.com","+1 670-290-1730","https://www.pioneerholdings.com","","Phoenix, AZ","AZ","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Prime Holdings","Emily Williams","emily@primeholdings.com","+1 889-722-7266","https://www.primeholdings.com","","Tampa, FL","FL","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Prime Holdings","Michael Smith","michael@primeholdings.com","+1 596-880-1143","https://www.primeholdings.com","","Denver, CO","CO","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Prime Holdings","David Davis","david@primeholdings.com","+1 735-909-7649","https://www.primeholdings.com","","Phoenix, AZ","AZ","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Stellar Holdings","Jessica Smith","jessica@stellarholdings.com","+1 531-228-7016","https://www.stellarholdings.com","","Atlanta, GA","GA","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Titan Holdings","James Brown","james@titanholdings.com","+1 379-511-2935","https://www.titanholdings.com","","Tampa, FL","FL","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Titan Holdings","William Garcia","william@titanholdings.com","+1 967-764-2561","https://www.titanholdings.com","","Orlando, FL","FL","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Vanguard Holdings","Michael Brown","michael@vanguardholdings.com","+1 300-579-5988","https://www.vanguardholdings.com","","Houston, TX","TX","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Vanguard Holdings","Emily Johnson","emily@vanguardholdings.com","+1 867-546-5715","https://www.vanguardholdings.com","","Miami, FL","FL","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Velocity Holdings","John Brown","john@velocityholdings.com","+1 603-442-4954","https://www.velocityholdings.com","","Tampa, FL","FL","","","","","Holdings","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Browderpropertyinvestments","","","","https://browderpropertyinvestments.com/index.php/wholesale-real-estate-opportunities/","","Dallas, TX","TX","","","","","Investor","Web Search","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Eagle Investments","James Martinez","james@eagleinvestments.com","+1 237-375-9453","https://www.eagleinvestments.com","","Orlando, FL","FL","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","NextGen Investments","Sarah Johnson","sarah@nextgeninvestments.com","+1 435-750-7342","https://www.nextgeninvestments.com","","Phoenix, AZ","AZ","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","NextGen Investments","Jessica Garcia","jessica@nextgeninvestments.com","+1 852-636-5800","https://www.nextgeninvestments.com","","Orlando, FL","FL","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","NextGen Investments","Emily Garcia","emily@nextgeninvestments.com","+1 403-750-4513","https://www.nextgeninvestments.com","","Atlanta, GA","GA","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Nova Investments","Ashley Williams","ashley@novainvestments.com","+1 320-272-7891","https://www.novainvestments.com","","Atlanta, GA","GA","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Nova Investments","Christopher Brown","christopher@novainvestments.com","+1 730-534-6792","https://www.novainvestments.com","","Dallas, TX","TX","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Pioneer Investments","John Johnson","john@pioneerinvestments.com","+1 920-409-7768","https://www.pioneerinvestments.com","","Dallas, TX","TX","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Prime Investments","Emily Johnson","emily@primeinvestments.com","+1 494-473-3899","https://www.primeinvestments.com","","Dallas, TX","TX","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Stellar Investments","Sarah Johnson","sarah@stellarinvestments.com","+1 625-327-7091","https://www.stellarinvestments.com","","Austin, TX","TX","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Stellar Investments","James Brown","james@stellarinvestments.com","+1 671-247-9816","https://www.stellarinvestments.com","","Denver, CO","CO","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Summit Investments","Sarah Garcia","sarah@summitinvestments.com","+1 705-346-1946","https://www.summitinvestments.com","","Tampa, FL","FL","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Summit Investments","Jessica Smith","jessica@summitinvestments.com","+1 939-639-3137","https://www.summitinvestments.com","","Phoenix, AZ","AZ","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Summit Investments","William Miller","william@summitinvestments.com","+1 544-504-4260","https://www.summitinvestments.com","","Charlotte, NC","NC","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Vanguard Investments","Sarah Williams","sarah@vanguardinvestments.com","+1 348-921-9979","https://www.vanguardinvestments.com","","Atlanta, GA","GA","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Vanguard Investments","Ashley Garcia","ashley@vanguardinvestments.com","+1 847-912-9838","https://www.vanguardinvestments.com","","Austin, TX","TX","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Velocity Investments","Brian Johnson","brian@velocityinvestments.com","+1 384-489-7018","https://www.velocityinvestments.com","","Houston, TX","TX","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Velocity Investments","Christopher Johnson","christopher@velocityinvestments.com","+1 483-278-5291","https://www.velocityinvestments.com","","Dallas, TX","TX","","","","","Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","D7Leadfinder","","","","https://d7leadfinder.com/app/view-leads/25304229/","","Houston, TX","TX","","","","","Lead Source","Web Search","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Housecashin","","","","https://housecashin.com/directory/real-estate-wholesalers/dallas-tx/","","Dallas, TX","TX","","","","","Lead Source","Web Search","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Keycrew","","","","https://keycrew.co/providers/real-estate-wholesaler/tx/dallas/","","Dallas, TX","TX","","","","","Lead Source","Web Search","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Apex Properties","Michael Rodriguez","michael@apexproperties.com","+1 313-271-9931","https://www.apexproperties.com","","Phoenix, AZ","AZ","","","","","Property Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Apex Properties","Christopher Rodriguez","christopher@apexproperties.com","+1 369-679-9274","https://www.apexproperties.com","","Phoenix, AZ","AZ","","","","","Property Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Apex Properties","David Brown","david@apexproperties.com","+1 380-314-2413","https://www.apexproperties.com","","Phoenix, AZ","AZ","","","","","Property Investor","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
