"Company","Category","Contact_Name","Email","Phone","Website","City","Lead_Source","Status","Confidence","QA_Status","Verification_Status","Evidence","Source_File"
"Apex Home Buyers","Cash Buyer","Christopher Martinez","christopher@apexhomebuyers.com","+1 819-809-6397","https://www.apexhomebuyers.com","Miami, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"BlueSky Home Buyers","Cash Buyer","John Garcia","john@blueskyhomebuyers.com","+1 597-451-4744","https://www.blueskyhomebuyers.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"BlueSky Home Buyers","Cash Buyer","Christopher Miller","christopher@blueskyhomebuyers.com","+1 493-763-5655","https://www.blueskyhomebuyers.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"BlueSky Home Buyers","Cash Buyer","Brian Brown","brian@blueskyhomebuyers.com","+1 494-213-1187","https://www.blueskyhomebuyers.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"BlueSky Home Buyers","Cash Buyer","James Rodriguez","james@blueskyhomebuyers.com","+1 679-254-4977","https://www.blueskyhomebuyers.com","Tampa, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Eagle Home Buyers","Cash Buyer","Robert Williams","robert@eaglehomebuyers.com","+1 464-239-2451","https://www.eaglehomebuyers.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Horizon Home Buyers","Cash Buyer","James Miller","james@horizonhomebuyers.com","+1 672-538-1290","https://www.horizonhomebuyers.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"NextGen Home Buyers","Cash Buyer","David Brown","david@nextgenhomebuyers.com","+1 471-709-8196","https://www.nextgenhomebuyers.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"NextGen Home Buyers","Cash Buyer","John Garcia","john@nextgenhomebuyers.com","+1 921-938-8059","https://www.nextgenhomebuyers.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Home Buyers","Cash Buyer","David Miller","david@novahomebuyers.com","+1 545-864-9914","https://www.novahomebuyers.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Home Buyers","Cash Buyer","Ashley Williams","ashley@novahomebuyers.com","+1 839-479-5936","https://www.novahomebuyers.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Pioneer Home Buyers","Cash Buyer","Christopher Davis","christopher@pioneerhomebuyers.com","+1 737-720-8904","https://www.pioneerhomebuyers.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Pioneer Home Buyers","Cash Buyer","Robert Jones","robert@pioneerhomebuyers.com","+1 941-510-3714","https://www.pioneerhomebuyers.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Prime Home Buyers","Cash Buyer","James Rodriguez","james@primehomebuyers.com","+1 929-749-4156","https://www.primehomebuyers.com","Orlando, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Sellhomedallas","Cash Buyer","","","","https://sellhomedallas.com/real-estate-wholesalers-dallas-tx/","Dallas, TX","Web Search","New","","","","","Final_Qualified_Leads.csv"
"Stellar Home Buyers","Cash Buyer","Sarah Garcia","sarah@stellarhomebuyers.com","+1 242-705-9721","https://www.stellarhomebuyers.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Stellar Home Buyers","Cash Buyer","Jessica Garcia","jessica@stellarhomebuyers.com","+1 861-903-8466","https://www.stellarhomebuyers.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Stellar Home Buyers","Cash Buyer","Emily Garcia","emily@stellarhomebuyers.com","+1 777-990-1869","https://www.stellarhomebuyers.com","Orlando, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Stellar Home Buyers","Cash Buyer","Michael Garcia","michael@stellarhomebuyers.com","+1 254-930-1212","https://www.stellarhomebuyers.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Summit Home Buyers","Cash Buyer","James Rodriguez","james@summithomebuyers.com","+1 241-657-5915","https://www.summithomebuyers.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Summit Home Buyers","Cash Buyer","John Smith","john@summithomebuyers.com","+1 780-587-5283","https://www.summithomebuyers.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Summit Home Buyers","Cash Buyer","Jessica Martinez","jessica@summithomebuyers.com","+1 308-223-4077","https://www.summithomebuyers.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Titan Home Buyers","Cash Buyer","Sarah Jones","sarah@titanhomebuyers.com","+1 413-933-4853","https://www.titanhomebuyers.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Titan Home Buyers","Cash Buyer","John Garcia","john@titanhomebuyers.com","+1 796-547-9650","https://www.titanhomebuyers.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Vanguard Home Buyers","Cash Buyer","John Jones","john@vanguardhomebuyers.com","+1 405-237-3508","https://www.vanguardhomebuyers.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Velocity Home Buyers","Cash Buyer","David Davis","david@velocityhomebuyers.com","+1 427-642-5531","https://www.velocityhomebuyers.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Velocity Home Buyers","Cash Buyer","Emily Miller","emily@velocityhomebuyers.com","+1 960-793-6570","https://www.velocityhomebuyers.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Apex Equity","Equity Partner","William Williams","william@apexequity.com","+1 978-329-5455","https://www.apexequity.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Apex Equity","Equity Partner","John Martinez","john@apexequity.com","+1 336-517-6455","https://www.apexequity.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"BlueSky Equity","Equity Partner","David Williams","david@blueskyequity.com","+1 753-872-9641","https://www.blueskyequity.com","Tampa, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"BlueSky Equity","Equity Partner","James Rodriguez","james@blueskyequity.com","+1 894-324-6666","https://www.blueskyequity.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Eagle Equity","Equity Partner","William Jones","william@eagleequity.com","+1 768-524-1452","https://www.eagleequity.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Elite Equity","Equity Partner","David Brown","david@eliteequity.com","+1 452-766-5657","https://www.eliteequity.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Elite Equity","Equity Partner","Michael Davis","michael@eliteequity.com","+1 272-561-4176","https://www.eliteequity.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Horizon Equity","Equity Partner","Emily Williams","emily@horizonequity.com","+1 286-897-2910","https://www.horizonequity.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"NextGen Equity","Equity Partner","Michael Miller","michael@nextgenequity.com","+1 311-769-9990","https://www.nextgenequity.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Equity","Equity Partner","Sarah Miller","sarah@novaequity.com","+1 372-551-8800","https://www.novaequity.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Prime Equity","Equity Partner","Robert Garcia","robert@primeequity.com","+1 337-771-6019","https://www.primeequity.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Summit Equity","Equity Partner","Christopher Rodriguez","christopher@summitequity.com","+1 903-930-5773","https://www.summitequity.com","Miami, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Summit Equity","Equity Partner","Robert Smith","robert@summitequity.com","+1 525-552-9234","https://www.summitequity.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Velocity Equity","Equity Partner","Emily Johnson","emily@velocityequity.com","+1 945-281-2459","https://www.velocityequity.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Eagle Holdings","Holdings","Robert Johnson","robert@eagleholdings.com","+1 545-707-3944","https://www.eagleholdings.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Elite Holdings","Holdings","Emily Johnson","emily@eliteholdings.com","+1 330-471-7876","https://www.eliteholdings.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Horizon Holdings","Holdings","Emily Davis","emily@horizonholdings.com","+1 297-861-6948","https://www.horizonholdings.com","Tampa, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Horizon Holdings","Holdings","Ashley Williams","ashley@horizonholdings.com","+1 653-594-8319","https://www.horizonholdings.com","Miami, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"NextGen Holdings","Holdings","Ashley Davis","ashley@nextgenholdings.com","+1 213-730-3252","https://www.nextgenholdings.com","Tampa, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Pioneer Holdings","Holdings","Sarah Jones","sarah@pioneerholdings.com","+1 670-290-1730","https://www.pioneerholdings.com","Phoenix, AZ","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Pioneer Holdings","Holdings","Christopher Brown","christopher@pioneerholdings.com","+1 826-413-2691","https://www.pioneerholdings.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Prime Holdings","Holdings","David Davis","david@primeholdings.com","+1 735-909-7649","https://www.primeholdings.com","Phoenix, AZ","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Prime Holdings","Holdings","Michael Smith","michael@primeholdings.com","+1 596-880-1143","https://www.primeholdings.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Prime Holdings","Holdings","Emily Williams","emily@primeholdings.com","+1 889-722-7266","https://www.primeholdings.com","Tampa, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Stellar Holdings","Holdings","Jessica Smith","jessica@stellarholdings.com","+1 531-228-7016","https://www.stellarholdings.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Titan Holdings","Holdings","William Garcia","william@titanholdings.com","+1 967-764-2561","https://www.titanholdings.com","Orlando, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Titan Holdings","Holdings","James Brown","james@titanholdings.com","+1 379-511-2935","https://www.titanholdings.com","Tampa, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Vanguard Holdings","Holdings","Emily Johnson","emily@vanguardholdings.com","+1 867-546-5715","https://www.vanguardholdings.com","Miami, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Vanguard Holdings","Holdings","Michael Brown","michael@vanguardholdings.com","+1 300-579-5988","https://www.vanguardholdings.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Velocity Holdings","Holdings","John Brown","john@velocityholdings.com","+1 603-442-4954","https://www.velocityholdings.com","Tampa, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Browderpropertyinvestments","Investor","","","","https://browderpropertyinvestments.com/index.php/wholesale-real-estate-opportunities/","Dallas, TX","Web Search","New","","","","","Final_Qualified_Leads.csv"
"Eagle Investments","Investor","James Martinez","james@eagleinvestments.com","+1 237-375-9453","https://www.eagleinvestments.com","Orlando, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"NextGen Investments","Investor","Emily Garcia","emily@nextgeninvestments.com","+1 403-750-4513","https://www.nextgeninvestments.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"NextGen Investments","Investor","Jessica Garcia","jessica@nextgeninvestments.com","+1 852-636-5800","https://www.nextgeninvestments.com","Orlando, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"NextGen Investments","Investor","Sarah Johnson","sarah@nextgeninvestments.com","+1 435-750-7342","https://www.nextgeninvestments.com","Phoenix, AZ","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Investments","Investor","Christopher Brown","christopher@novainvestments.com","+1 730-534-6792","https://www.novainvestments.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Investments","Investor","Ashley Williams","ashley@novainvestments.com","+1 320-272-7891","https://www.novainvestments.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Pioneer Investments","Investor","John Johnson","john@pioneerinvestments.com","+1 920-409-7768","https://www.pioneerinvestments.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Prime Investments","Investor","Emily Johnson","emily@primeinvestments.com","+1 494-473-3899","https://www.primeinvestments.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Stellar Investments","Investor","James Brown","james@stellarinvestments.com","+1 671-247-9816","https://www.stellarinvestments.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Stellar Investments","Investor","Sarah Johnson","sarah@stellarinvestments.com","+1 625-327-7091","https://www.stellarinvestments.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Summit Investments","Investor","William Miller","william@summitinvestments.com","+1 544-504-4260","https://www.summitinvestments.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Summit Investments","Investor","Jessica Smith","jessica@summitinvestments.com","+1 939-639-3137","https://www.summitinvestments.com","Phoenix, AZ","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Summit Investments","Investor","Sarah Garcia","sarah@summitinvestments.com","+1 705-346-1946","https://www.summitinvestments.com","Tampa, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Vanguard Investments","Investor","Ashley Garcia","ashley@vanguardinvestments.com","+1 847-912-9838","https://www.vanguardinvestments.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Vanguard Investments","Investor","Sarah Williams","sarah@vanguardinvestments.com","+1 348-921-9979","https://www.vanguardinvestments.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Velocity Investments","Investor","Christopher Johnson","christopher@velocityinvestments.com","+1 483-278-5291","https://www.velocityinvestments.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Velocity Investments","Investor","Brian Johnson","brian@velocityinvestments.com","+1 384-489-7018","https://www.velocityinvestments.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"D7Leadfinder","Lead Source","","","","https://d7leadfinder.com/app/view-leads/25304229/","Houston, TX","Web Search","New","","","","","Final_Qualified_Leads.csv"
"Housecashin","Lead Source","","","","https://housecashin.com/directory/real-estate-wholesalers/dallas-tx/","Dallas, TX","Web Search","New","","","","","Final_Qualified_Leads.csv"
"Keycrew","Lead Source","","","","https://keycrew.co/providers/real-estate-wholesaler/tx/dallas/","Dallas, TX","Web Search","New","","","","","Final_Qualified_Leads.csv"
"Apex Properties","Property Investor","David Brown","david@apexproperties.com","+1 380-314-2413","https://www.apexproperties.com","Phoenix, AZ","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Apex Properties","Property Investor","Christopher Rodriguez","christopher@apexproperties.com","+1 369-679-9274","https://www.apexproperties.com","Phoenix, AZ","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Apex Properties","Property Investor","Michael Rodriguez","michael@apexproperties.com","+1 313-271-9931","https://www.apexproperties.com","Phoenix, AZ","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"BlueSky Properties","Property Investor","James Davis","james@blueskyproperties.com","+1 293-791-4112","https://www.blueskyproperties.com","Orlando, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Eagle Properties","Property Investor","James Brown","james@eagleproperties.com","+1 282-323-6052","https://www.eagleproperties.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Horizon Properties","Property Investor","David Jones","david@horizonproperties.com","+1 582-826-5630","https://www.horizonproperties.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"NextGen Properties","Property Investor","William Martinez","william@nextgenproperties.com","+1 418-455-1952","https://www.nextgenproperties.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Properties","Property Investor","Sarah Rodriguez","sarah@novaproperties.com","+1 671-654-5276","https://www.novaproperties.com","Miami, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Ntxpropertygroup","Property Investor","","","","https://www.ntxpropertygroup.com/dallas--tx/real-estate-wholesaling-company","Dallas, TX","Web Search","New","","","","","Final_Qualified_Leads.csv"
"Pioneer Properties","Property Investor","William Jones","william@pioneerproperties.com","+1 674-401-4634","https://www.pioneerproperties.com","Orlando, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Pioneer Properties","Property Investor","Jessica Garcia","jessica@pioneerproperties.com","+1 269-880-4384","https://www.pioneerproperties.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Pioneer Properties","Property Investor","Christopher Garcia","christopher@pioneerproperties.com","+1 474-827-2607","https://www.pioneerproperties.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Stellar Properties","Property Investor","William Miller","william@stellarproperties.com","+1 380-393-4605","https://www.stellarproperties.com","Phoenix, AZ","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Titan Properties","Property Investor","Emily Rodriguez","emily@titanproperties.com","+1 895-430-8739","https://www.titanproperties.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Titan Properties","Property Investor","Jessica Garcia","jessica@titanproperties.com","+1 911-252-4292","https://www.titanproperties.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Vanguard Properties","Property Investor","Brian Garcia","brian@vanguardproperties.com","+1 417-911-6015","https://www.vanguardproperties.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Vanguard Properties","Property Investor","Sarah Johnson","sarah@vanguardproperties.com","+1 284-549-3039","https://www.vanguardproperties.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Velocity Properties","Property Investor","James Johnson","james@velocityproperties.com","+1 653-815-5682","https://www.velocityproperties.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Eagle Real Estate","Real Estate","Brian Rodriguez","brian@eaglerealestate.com","+1 625-969-1517","https://www.eaglerealestate.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Elite Real Estate","Real Estate","Jessica Brown","jessica@eliterealestate.com","+1 883-413-3716","https://www.eliterealestate.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Liberty Real Estate","Real Estate","Christopher Garcia","christopher@libertyrealestate.com","+1 423-256-9786","https://www.libertyrealestate.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"NextGen Real Estate","Real Estate","Brian Davis","brian@nextgenrealestate.com","+1 936-394-1489","https://www.nextgenrealestate.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Real Estate","Real Estate","David Miller","david@novarealestate.com","+1 317-675-6075","https://www.novarealestate.com","Orlando, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Real Estate","Real Estate","John Jones","john@novarealestate.com","+1 813-778-2438","https://www.novarealestate.com","Miami, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Real Estate","Real Estate","Sarah Smith","sarah@novarealestate.com","+1 251-571-2720","https://www.novarealestate.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
