Company,Contact_Name,Email,Phone,Website,City,Lead_Source,Status,Confidence,QA_Status,Verification_Status,Evidence
Summit Real Estate,Robert Brown,robert@summitrealestate.com,+1 786-992-2663,https://www.summitrealestate.com,"Austin, TX",PropStream Export,New,100,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Summit County CO Real Estate -...) | + Industry Keywords found on Website
Summit Home Buyers,John Smith,john@summithomebuyers.com,+1 780-587-5283,https://www.summithomebuyers.com,"Atlanta, GA",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Stellar Capital,Jessica Garcia,jessica@stellarcapital.com,+1 660-587-1548,https://www.stellarcapital.com,"Houston, TX",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Pioneer Acquisitions,David Williams,david@pioneeracquisitions.com,+1 838-204-8423,https://www.pioneeracquisitions.com,"Dallas, TX",PropStream Export,New,100,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Pioneer Acquisitions: Strategi...) | + Industry Keywords found on Website
Velocity Investments,Brian Johnson,brian@velocityinvestments.com,+1 384-489-7018,https://www.velocityinvestments.com,"Houston, TX",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Apex Properties,Michael Rodriguez,michael@apexproperties.com,+1 313-271-9931,https://www.apexproperties.com,"Phoenix, AZ",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Pioneer Real Estate,John Davis,john@pioneerrealestate.com,+1 667-298-1690,https://www.pioneerrealestate.com,"Houston, TX",PropStream Export,New,100,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: The Market Forecast &#8211; An...) | + Industry Keywords found on Website
Titan Real Estate,Michael Miller,michael@titanrealestate.com,+1 578-428-5795,https://www.titanrealestate.com,"Austin, TX",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: TITAN REALESTATE | RE/MAX True...) | - Missing Industry Keywords on Website
Vanguard Acquisitions,Emily Rodriguez,emily@vanguardacquisitions.com,+1 658-643-1144,https://www.vanguardacquisitions.com,"Charlotte, NC",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
BlueSky Equity,James Rodriguez,james@blueskyequity.com,+1 894-324-6666,https://www.blueskyequity.com,"Charlotte, NC",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Titan Acquisitions,James Jones,james@titanacquisitions.com,+1 650-224-7561,https://www.titanacquisitions.com,"Orlando, FL",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Prime Capital,James Smith,james@primecapital.com,+1 852-981-6641,https://www.primecapital.com,"Atlanta, GA",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Prime Capital...) | - Missing Industry Keywords on Website
BlueSky Capital,Robert Smith,robert@blueskycapital.com,+1 670-507-9557,https://www.blueskycapital.com,"Phoenix, AZ",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Bluesky...) | - Missing Industry Keywords on Website
Apex Equity,William Williams,william@apexequity.com,+1 978-329-5455,https://www.apexequity.com,"Houston, TX",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Vanguard Solutions,Christopher Davis,christopher@vanguardsolutions.com,+1 835-975-4252,https://www.vanguardsolutions.com,"Denver, CO",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Vanguard Solutions...) | - Missing Industry Keywords on Website
Horizon Holdings,Emily Davis,emily@horizonholdings.com,+1 297-861-6948,https://www.horizonholdings.com,"Tampa, FL",PropStream Export,New,100,Passed,Verified,"+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Home | Horizon Holdings, LLC...) | + Industry Keywords found on Website"
Prime Solutions,Michael Miller,michael@primesolutions.com,+1 408-671-3796,https://www.primesolutions.com,"Houston, TX",PropStream Export,New,90,Passed,Verified,"+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Prime Solutions, Inc. — Enterp...) | - Missing Industry Keywords on Website"
Vanguard Properties,Sarah Johnson,sarah@vanguardproperties.com,+1 284-549-3039,https://www.vanguardproperties.com,"Austin, TX",PropStream Export,New,100,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Vanguard Properties | Bay Area...) | + Industry Keywords found on Website
Elite Holdings,Emily Johnson,emily@eliteholdings.com,+1 330-471-7876,https://www.eliteholdings.com,"Atlanta, GA",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Eagle Acquisitions,Robert Miller,robert@eagleacquisitions.com,+1 409-546-7962,https://www.eagleacquisitions.com,"Tampa, FL",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Velocity Solutions,David Rodriguez,david@velocitysolutions.com,+1 664-515-7155,https://www.velocitysolutions.com,"Houston, TX",PropStream Export,New,100,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Home...) | + Industry Keywords found on Website
BlueSky Properties,James Davis,james@blueskyproperties.com,+1 293-791-4112,https://www.blueskyproperties.com,"Orlando, FL",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
NextGen Wholesalers,Robert Garcia,robert@nextgenwholesalers.com,+1 309-245-6958,https://www.nextgenwholesalers.com,"Charlotte, NC",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: NextGen Wholesalers A Division...) | - Missing Industry Keywords on Website
Liberty Solutions,Michael Williams,michael@libertysolutions.com,+1 695-989-9509,https://www.libertysolutions.com,"Austin, TX",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Horizon Properties,David Jones,david@horizonproperties.com,+1 582-826-5630,https://www.horizonproperties.com,"Denver, CO",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Vanguard Real Estate,James Miller,james@vanguardrealestate.com,+1 596-518-5748,https://www.vanguardrealestate.com,"Miami, FL",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Eagle Investments,James Martinez,james@eagleinvestments.com,+1 237-375-9453,https://www.eagleinvestments.com,"Orlando, FL",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Pioneer Investments,John Johnson,john@pioneerinvestments.com,+1 920-409-7768,https://www.pioneerinvestments.com,"Dallas, TX",PropStream Export,New,100,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Pioneer Investments - Victory ...) | + Industry Keywords found on Website
